action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
5824;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
5824;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
5824;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances;;
5828;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
5828;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
5829;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
5829;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
5829;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5829;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5829;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Travail, emploi, formation professionnelle et dialogue social;;
5830;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
5830;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
5830;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5830;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
5830;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Travail, emploi, formation professionnelle et dialogue social;;
5833;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;EPCI ORLEANS METROPOLE
5833;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;EPCI ORLEANS METROPOLE
5835;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5835;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5841;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ambassadrice pour le sport, Ministère de l'Euroipe et des relations internationales
5841;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;Ambassadrice pour le sport, Ministère de l'Euroipe et des relations internationales
5841;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser, Affaires étrangères et développement international;;Ambassadrice pour le sport, Ministère de l'Euroipe et des relations internationales
5842;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur général de l’Agence nationale de promotion des patrimoines et de développement du tourisme, Présidence de la République du Bénin
5842;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur général de l’Agence nationale de promotion des patrimoines et de développement du tourisme, Présidence de la République du Bénin
5843;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
5843;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
5844;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
5844;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
5845;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
5845;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
5846;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
5846;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
5846;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
5847;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
5847;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
5848;Membre du Gouvernement ou membre de cabinet ministériel;Ville;Président de Région 
5848;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;Président de Région 
5848;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Président de Région 
5848;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport, Autres : à préciser;;Président de Région 
5849;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Agence française de lutte contre le dopage;
5849;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Agence française de lutte contre le dopage;;
5850;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
5850;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
5850;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
5851;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
5851;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
5851;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
5852;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
5852;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
5853;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Respectivement Directeur au CIO, Président du COJO Dakar 2022, Directrice des relations internationales de Paris 2024
5853;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Respectivement Directeur au CIO, Président du COJO Dakar 2022, Directrice des relations internationales de Paris 2024
5854;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ambassadeur du Maroc en France
5854;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ambassadeur du Maroc en France
5855;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur général de la société Connectik
5855;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur général de la société Connectik
5856;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur du développement du Club Efficience, représentant de Elie Nkamgueu, Président du Club Efficience
5856;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur du développement du Club Efficience, représentant de Elie Nkamgueu, Président du Club Efficience
5857;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mnistre des sports de Côte d'Ivoire
5857;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mnistre des sports de Côte d'Ivoire
5858;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ingénieur commercial AFNOR
5858;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ingénieur commercial AFNOR
5859;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ingénieur commercial AFNOR
5859;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ingénieur commercial AFNOR
5860;Membre du Gouvernement ou membre de cabinet ministériel;Ville;Président du Club Efficience
5860;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;Président du Club Efficience
5860;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Président du Club Efficience
5860;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport, Autres : à préciser;;Président du Club Efficience
5861;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Président d'Atout France
5861;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Président d'Atout France
5863;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Membre du CIO, Ministre conseiller du Président de la République du Sénégal
5863;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Membre du CIO, Ministre conseiller du Président de la République du Sénégal
5864;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur de l’aménagement du Port Urbain du Sénégal, Représentant Seydou Sy Sall, Délégué général
5864;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur de l’aménagement du Port Urbain du Sénégal, Représentant Seydou Sy Sall, Délégué général
5865;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Economiste et homme politique malien, directeur général d’Envol immobilier Sénégal
5865;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Economiste et homme politique malien, directeur général d’Envol immobilier Sénégal
5866;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministre des sports du Sénégal
5866;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministre des sports du Sénégal
5867;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministre du tourisme, des sports et de la culture du Bénin
5867;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministre du tourisme, des sports et de la culture du Bénin
5868;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur général de la société Win Win Afrique
5868;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur général de la société Win Win Afrique
5871;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
5871;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
5871;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
5872;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ancien Ambassadeur du Sénégal, ancien Ministre des sports
5872;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ancien Ambassadeur du Sénégal, ancien Ministre des sports
5874;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministre des sports du Sénégal
5874;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministre des sports du Sénégal
5875;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
5875;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
5875;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
